iter	Passed	Remaining
407	5238	7601
408	5253	7591
409	5265	7577
410	5276	7561
411	5289	7548
412	5300	7534
413	5311	7518
414	5326	7508
415	5339	7496
416	5353	7485
417	5367	7473
418	5379	7459
419	5391	7445
420	5403	7431
421	5415	7417
422	5428	7405
423	5441	7391
424	5452	7377
425	5465	7363
426	5478	7351
427	5490	7337
428	5502	7324
429	5514	7309
430	5526	7295
431	5538	7282
432	5549	7267
433	5561	7252
434	5575	7241
435	5589	7230
436	5602	7218
437	5615	7205
438	5628	7192
439	5641	7179
440	5652	7164
441	5663	7149
442	5675	7136
443	5687	7121
444	5697	7106
445	5709	7092
446	5721	7078
447	5734	7065
448	5744	7049
449	5755	7035
450	5767	7020
451	5780	7008
452	5792	6994
453	5806	6982
454	5819	6970
455	5835	6961
456	5847	6948
457	5859	6933
458	5872	6922
459	5885	6909
460	5898	6896
461	5908	6880
462	5920	6866
463	5933	6854
464	5946	6842
465	5957	6826
466	5968	6812
467	5981	6799
468	5993	6786
469	6005	6771
470	6016	6757
471	6028	6743
472	6040	6729
473	6053	6717
474	6065	6703
475	6076	6688
476	6088	6675
477	6100	6662
478	6114	6650
479	6127	6637
480	6138	6623
481	6151	6610
482	6162	6596
483	6175	6583
484	6186	6568
485	6197	6554
486	6209	6541
487	6222	6528
488	6235	6515
489	6246	6501
490	6258	6487
491	6270	6474
492	6281	6459
493	6293	6446
494	6305	6433
495	6318	6419
496	6329	6405
497	6341	6392
498	6353	6379
499	6367	6367
500	6378	6353
501	6390	6339
502	6401	6325
503	6415	6313
504	6427	6300
505	6439	6286
506	6451	6273
507	6467	6263
508	6501	6271
509	6536	6279
510	6558	6275
511	6571	6263
512	6584	6250
513	6596	6236
514	6607	6222
515	6620	6210
516	6632	6196
517	6644	6182
518	6656	6169
519	6667	6154
520	6679	6141
521	6690	6126
522	6701	6111
523	6713	6098
524	6726	6085
525	6738	6072
526	6749	6058
527	6761	6044
528	6772	6030
529	6784	6016
530	6796	6002
531	6808	5989
532	6821	5977
533	6832	5962
534	6844	5948
535	6856	5935
536	6871	5924
537	6883	5911
538	6894	5897
539	6907	5884
540	6919	5870
541	6929	5855
542	6942	5842
543	6954	5829
544	6965	5815
545	6977	5801
546	6991	5789
547	7005	5778
548	7017	5764
549	7029	5751
550	7041	5737
551	7053	5724
552	7065	5711
553	7077	5697
554	7088	5683
555	7100	5669
556	7111	5656
557	7123	5642
558	7137	5630
559	7151	5619
560	7165	5607
561	7178	5594
562	7190	5581
563	7203	5568
564	7214	5554
565	7227	5542
566	7240	5529
567	7251	5515
568	7264	5502
569	7276	5489
570	7288	5475
571	7300	5462
572	7330	5462
573	7343	5450
574	7356	5437
575	7369	5424
576	7380	5410
577	7391	5396
578	7403	5383
579	7414	5369
580	7425	5355
581	7439	5343
582	7450	5329
583	7461	5314
584	7472	5300
585	7483	5286
586	7496	5274
587	7507	5260
588	7519	5247
589	7530	5232
590	7544	5220
591	7557	5208
592	7570	5196
593	7582	5182
594	7593	5168
595	7607	5156
596	7619	5143
597	7632	5130
598	7643	5117
599	7656	5104
600	7669	5091
601	7681	5078
602	7695	5066
603	7706	5052
604	7718	5039
605	7731	5027
606	7743	5013
607	7754	4999
608	7767	4987
609	7779	4973
610	7791	4960
611	7804	4947
612	7816	4934
613	7829	4922
614	7843	4910
615	7856	4897
616	7870	4885
617	7884	4873
618	7899	4861
619	7912	4849
620	7927	4837
621	7940	4825
622	7954	4813
623	7968	4801
624	7983	4789
625	7998	4778
626	8013	4767
627	8028	4755
628	8042	4743
629	8057	4732
630	8071	4719
631	8083	4707
632	8095	4693
633	8109	4681
634	8123	4669
635	8136	4656
636	8148	4643
637	8161	4630
638	8175	4618
639	8190	4607
640	8203	4594
641	8217	4582
642	8230	4569
643	8242	4556
644	8257	4544
645	8272	4533
646	8284	4519
647	8296	4506
648	8309	4494
649	8323	4481
650	8336	4468
651	8348	4455
652	8358	4441
653	8370	4428
654	8383	4415
655	8395	4402
656	8453	4413
657	8475	4405
658	8487	4391
659	8500	4379
660	8515	4367
661	8529	4354
662	8543	4342
663	8555	4329
664	8566	4315
665	8580	4302
666	8592	4289
667	8604	4276
668	8616	4263
669	8629	4250
670	8642	4237
671	8654	4224
672	8667	4211
673	8680	4198
674	8693	4185
675	8704	4171
676	8714	4157
677	8727	4145
678	8740	4131
679	8752	4118
680	8764	4105
681	8776	4092
682	8789	4079
683	8801	4066
684	8812	4052
685	8824	4039
686	8838	4026
687	8850	4013
688	8862	4000
689	8934	4014
690	8957	4005
691	8969	3992
692	8981	3978
693	8994	3965
694	9007	3952
695	9019	3939
696	9036	3928
697	9052	3916
698	9065	3903
699	9077	3890
700	9088	3876
701	9101	3863
702	9114	3850
703	9125	3836
704	9137	3823
705	9151	3810
706	9162	3797
707	9174	3783
708	9187	3770
709	9199	3757
710	9210	3743
711	9225	3731
712	9237	3718
713	9249	3705
714	9262	3691
715	9274	3678
716	9287	3665
717	9300	3652
718	9313	3640
719	9325	3626
720	9337	3613
721	9348	3599
722	9359	3585
723	9371	3572
724	9383	3559
725	9395	3546
726	9408	3533
727	9422	3520
728	9433	3506
729	9444	3493
730	9456	3480
731	9469	3466
732	9480	3453
733	9493	3440
734	9503	3426
735	9516	3413
736	9528	3400
737	9540	3387
738	9553	3374
739	9568	3362
740	9581	3348
741	9593	3335
742	9604	3322
743	9618	3309
744	9631	3296
745	9642	3283
746	9654	3269
747	9668	3257
748	9682	3244
749	9698	3232
750	9709	3219
751	9722	3206
752	9737	3193
753	9749	3180
754	9761	3167
755	9774	3154
756	9787	3141
757	9799	3128
758	9812	3115
759	9826	3103
760	9840	3090
761	9853	3077
762	9866	3064
763	9879	3051
764	9891	3038
765	9903	3025
766	9915	3012
767	9928	2999
768	9941	2986
769	9953	2973
770	9965	2960
771	9980	2947
772	9993	2934
773	10006	2921
774	10018	2908
775	10030	2895
776	10041	2881
777	10055	2869
778	10065	2855
779	10078	2842
780	10090	2829
781	10101	2816
782	10114	2803
783	10127	2790
784	10140	2777
785	10154	2764
786	10166	2751
787	10177	2738
788	10187	2724
789	10199	2711
790	10212	2698
791	10223	2684
792	10235	2671
793	10249	2659
794	10262	2646
795	10275	2633
796	10286	2620
797	10299	2607
798	10311	2594
799	10324	2581
800	10335	2567
801	10347	2554
802	10360	2541
803	10375	2529
804	10387	2516
805	10398	2502
806	10410	2489
807	10421	2476
808	10433	2463
809	10444	2449
810	10457	2437
811	10471	2424
812	10481	2410
813	10494	2398
814	10505	2384
815	10517	2371
816	10528	2358
817	10540	2345
818	10552	2332
819	10564	2319
820	10575	2305
821	10588	2292
822	10600	2279
823	10611	2266
824	10622	2253
825	10635	2240
826	10646	2227
827	10658	2214
828	10671	2201
829	10683	2188
830	10695	2175
831	10706	2161
832	10718	2148
833	10730	2135
834	10744	2123
835	10756	2110
836	10769	2097
837	10782	2084
838	10793	2071
839	10805	2058
840	10817	2045
841	10830	2032
842	10841	2019
843	10852	2005
844	10865	1993
845	10876	1979
846	10887	1966
847	10899	1953
848	10912	1940
849	10924	1927
850	10934	1914
851	10946	1901
852	10962	1889
853	10975	1876
854	10986	1863
855	10999	1850
856	11011	1837
857	11023	1824
858	11035	1811
859	11048	1798
860	11131	1797
861	11155	1785
862	11168	1772
863	11180	1759
864	11192	1746
865	11205	1733
866	11217	1720
867	11228	1707
868	11240	1694
869	11252	1681
870	11264	1668
871	11275	1655
872	11287	1642
873	11299	1628
874	11309	1615
875	11321	1602
876	11334	1589
877	11379	1581
878	11403	1569
879	11424	1557
