iter	RMSE
0	3712.6898
1	3420.803142
2	3148.668229
3	2898.264882
4	2668.723888
5	2467.800449
6	2282.475208
7	2114.931926
8	1962.090271
9	1820.333603
10	1693.649314
11	1582.277694
12	1482.680764
13	1390.128257
14	1306.858453
15	1233.093143
16	1166.949679
17	1109.755137
18	1054.545237
19	1006.873245
20	964.5209975
21	925.872155
22	891.0546269
23	860.9339072
24	835.0152756
25	810.0213307
26	789.1145419
27	770.2799956
28	753.073468
29	737.984582
30	725.7447946
31	713.6868768
32	703.2166071
33	693.974555
34	686.62645
35	678.9837523
36	672.4148652
37	665.8263937
38	660.1932166
39	654.6094938
40	650.0431379
41	645.7068304
42	641.8219729
43	637.9731348
44	634.8449504
45	631.9953651
46	629.2734411
47	626.7649874
48	624.4605946
49	621.9997052
50	619.7557351
51	617.9563495
52	616.3007672
53	614.6558185
54	613.2042075
55	611.8531301
56	610.0718682
57	608.8197305
58	607.6973431
59	606.5795821
60	605.7147584
61	604.7346121
62	603.74118
63	602.8520981
64	601.7258756
65	601.0685302
66	600.0117322
67	599.0018081
68	598.2343881
69	597.3194946
70	596.5673102
71	595.7809876
72	595.2083399
73	594.6336969
74	594.1077576
75	593.5931056
76	593.1528429
77	592.4677446
78	591.8811271
79	591.1653579
80	590.6772392
81	590.3144176
82	589.8566167
83	589.1427257
84	588.8442315
85	588.4205836
86	588.0954087
87	587.8068799
88	587.3648718
89	587.0246345
90	586.7889393
91	586.4896223
92	586.3009797
93	585.9684874
94	585.7571662
95	585.2374604
96	584.9468643
97	584.450644
98	584.1828026
99	583.8760865
100	583.4074543
101	583.2514125
102	583.0591889
103	582.8438904
104	582.6555558
105	582.4215557
106	582.056848
107	581.6901442
108	581.5438086
109	581.2787275
110	581.0000939
111	580.8830401
112	580.6727354
113	580.4679098
114	580.2496251
115	579.9746795
116	579.624622
117	579.4693506
118	579.1417648
119	579.0383805
120	578.8929455
121	578.6933331
122	578.4602632
123	578.3675797
124	578.1110607
125	577.9452139
126	577.7454262
127	577.5689481
128	577.4004962
129	577.236353
130	577.0905072
131	576.869994
132	576.7542646
133	576.551852
134	576.3325492
135	576.2155567
136	576.0944653
137	575.95583
138	575.863416
139	575.7291805
140	575.6460114
141	575.4238287
142	575.2372633
143	575.1166376
144	575.0124512
145	574.9051243
146	574.8289255
147	574.7319775
148	574.5842394
149	574.3952949
150	574.1859627
151	574.0749108
152	573.9778344
153	573.8105343
154	573.6444752
155	573.4905071
156	573.3655977
157	573.188684
158	573.0831818
159	572.9949958
160	572.8217792
161	572.6698665
162	572.5689293
163	572.3704948
164	572.2524949
165	572.1104298
166	571.973804
167	571.8327539
168	571.7572475
169	571.6526467
170	571.5120495
171	571.3991824
172	571.2654646
173	571.1111382
174	570.9081
175	570.7932839
176	570.6829533
177	570.6412608
178	570.5502106
179	570.4885819
180	570.3983442
181	570.2697468
182	570.1639724
183	570.0437887
184	569.9502911
185	569.8423874
186	569.7289773
187	569.6359625
188	569.4892608
189	569.3281994
190	569.2158
191	569.0555612
192	568.9641834
193	568.8673095
194	568.761528
195	568.6811346
196	568.6003219
197	568.5152346
198	568.3979821
199	568.3026179
200	568.2089163
201	568.0650939
202	567.9595047
203	567.9030964
204	567.7957734
205	567.6421204
206	567.6097821
207	567.5360748
208	567.5072659
209	567.401061
210	567.2792126
211	567.1894094
212	567.1007479
213	566.9130864
214	566.8265049
215	566.6889911
216	566.6038738
217	566.5230135
218	566.4226857
219	566.3312271
220	566.2581736
221	566.1948159
222	566.0293324
223	565.9638419
224	565.8953152
225	565.7977575
226	565.7108026
227	565.6395978
228	565.5784648
229	565.5110839
230	565.3315745
231	565.2383531
232	565.1021033
233	565.0494514
234	564.9852007
235	564.9236716
236	564.8342515
237	564.68713
238	564.5844533
239	564.5261749
240	564.4840952
241	564.4467164
242	564.3669567
243	564.2353091
244	564.1200089
245	564.1027662
246	564.0633116
247	564.0076939
248	563.9411857
249	563.8301021
250	563.7854397
251	563.7033672
252	563.5999234
253	563.5164952
254	563.4414823
255	563.3726722
256	563.2415449
257	563.1361008
258	563.101715
259	563.0174719
260	562.9159885
261	562.822128
262	562.7327027
263	562.6683195
264	562.539039
265	562.4408283
266	562.3950189
267	562.2861403
268	562.1801594
269	562.0298812
270	561.9776951
271	561.9294271
272	561.8186128
273	561.7548082
274	561.6545689
275	561.5960969
276	561.5257702
277	561.4598187
278	561.4125418
279	561.3325002
280	561.2607689
281	561.1939739
282	561.1098231
283	561.0504156
284	561.0002333
285	560.9837337
286	560.9398329
287	560.8964925
288	560.8268734
289	560.747308
290	560.6259398
291	560.5169135
292	560.4210865
293	560.3233673
294	560.1502685
295	560.0764339
296	559.9930474
297	559.9298666
298	559.886296
299	559.8187074
300	559.7434109
301	559.6411962
302	559.5911407
303	559.5163168
304	559.3784582
305	559.3651358
306	559.3221517
307	559.2367011
308	559.0678759
309	559.0314078
310	558.9457385
311	558.8404539
312	558.8104168
313	558.7243185
314	558.6709409
315	558.6019852
316	558.4592932
317	558.4289099
318	558.3771218
319	558.2162917
320	558.1145807
321	558.0609687
322	557.9833239
323	557.9078192
324	557.8594286
325	557.8067979
326	557.7601324
327	557.5576646
328	557.5109093
329	557.4983119
330	557.3895747
331	557.3166349
332	557.2889589
333	557.1942815
334	557.1568891
335	557.0900449
336	557.0339316
337	557.0002501
338	556.8510153
339	556.7422086
340	556.652037
341	556.5978855
342	556.5716954
343	556.4368784
344	556.4174814
345	556.3580946
346	556.2482056
347	556.2071636
348	556.0866304
349	556.0281744
350	555.9931052
351	555.9439869
352	555.8566572
353	555.7646615
354	555.6846918
355	555.5798696
356	555.4821694
357	555.4070189
358	555.3432725
359	555.2654124
360	555.1487021
361	555.0998082
362	555.0170567
363	554.9786971
364	554.7991631
365	554.75245
366	554.6913821
367	554.6563076
368	554.5610119
369	554.5178748
370	554.4676766
371	554.4361701
372	554.3668704
373	554.2928779
374	554.2059304
375	554.129248
376	554.1256768
377	554.0847079
378	554.0058448
379	553.911509
380	553.90835
381	553.826455
382	553.7839891
383	553.7745519
384	553.708375
385	553.6639264
386	553.5729469
387	553.5193179
388	553.5084363
389	553.4658557
390	553.4084913
391	553.3406518
392	553.2743704
393	553.2128417
394	553.1151005
395	553.0467414
396	552.9363751
397	552.8774064
398	552.8286969
399	552.749759
400	552.7059776
401	552.6473259
402	552.5628262
403	552.5470247
404	552.4805707
405	552.4472804
406	552.4180473
407	552.374656
408	552.3276145
409	552.2819201
410	552.2674047
411	552.1817166
412	552.1419204
413	552.1346409
414	552.0943727
415	552.0315351
416	551.9635874
417	551.9106655
418	551.8883063
419	551.7674727
420	551.6958867
421	551.6508509
422	551.5900396
423	551.4964132
424	551.4391842
425	551.3457061
426	551.2716891
427	551.2534158
428	551.1830363
429	551.1645356
430	551.1202454
431	551.0727302
432	551.0563767
433	551.004179
434	550.9748658
435	550.9195158
436	550.8667704
437	550.8099182
438	550.7935723
439	550.7574673
440	550.7553202
441	550.7250061
442	550.6273327
443	550.6073299
444	550.5889072
445	550.5544698
446	550.527799
447	550.5113731
448	550.4961984
449	550.4777737
450	550.4513535
451	550.3994646
452	550.3771894
453	550.3371122
454	550.3028953
455	550.2690424
456	550.1885786
457	550.1291474
458	550.0746006
459	550.0520661
460	550.0007084
461	549.9407493
462	549.8515156
463	549.8012688
464	549.7492053
465	549.7132762
466	549.7002612
467	549.6364264
468	549.5647212
469	549.4651886
470	549.3933621
471	549.3197131
472	549.202267
473	549.1546497
474	549.0644346
475	549.0572638
476	549.0141953
477	548.9426759
478	548.9018413
479	548.8450595
480	548.7959492
481	548.6737402
482	548.6668996
483	548.6011452
484	548.594794
485	548.5516112
486	548.4375206
487	548.358329
488	548.2372445
489	548.1820886
490	548.1640059
491	548.0902736
492	547.9967474
493	547.9606354
494	547.8984972
495	547.8523454
496	547.8005236
497	547.7691922
498	547.7046869
499	547.5951229
500	547.5582574
501	547.4782469
502	547.4493867
503	547.4202284
504	547.3936811
505	547.3443312
506	547.3322513
507	547.2818086
508	547.1897695
509	547.1702896
510	547.147344
511	547.0717658
512	546.9803863
513	546.913333
514	546.8412803
515	546.7756195
516	546.7306694
517	546.5726452
518	546.541465
519	546.5009502
520	546.4755085
521	546.4518531
522	546.4435933
523	546.3313132
524	546.2797271
525	546.2123356
526	546.1426004
527	546.132023
528	546.1085379
529	546.0234963
530	545.9670044
531	545.820259
532	545.7727909
533	545.7521934
534	545.7275525
535	545.6904379
536	545.618816
537	545.5487287
538	545.5120118
539	545.4318621
540	545.3699454
541	545.3285299
542	545.2863065
543	545.245613
544	545.2018173
545	545.1146707
546	545.0506822
547	545.0081182
548	544.969262
549	544.9019169
550	544.8830288
551	544.8212029
552	544.8126063
553	544.7468858
554	544.7003098
555	544.68046
556	544.656351
557	544.6053197
558	544.5501944
559	544.5261668
560	544.4845273
561	544.4055087
562	544.3555493
563	544.3312342
564	544.288563
565	544.262794
566	544.1837998
567	544.1634515
568	544.1030128
569	544.0292529
570	544.0245041
571	543.9613152
572	543.9294214
573	543.8889012
574	543.8317771
575	543.8051416
576	543.7589369
577	543.7130102
578	543.6311617
579	543.6007979
580	543.5519504
581	543.5164658
582	543.4726187
583	543.4544622
584	543.4170781
585	543.3603215
586	543.3314295
587	543.2858948
588	543.2326443
589	543.178125
590	543.0490882
591	542.9545756
592	542.9188847
593	542.8525007
594	542.788426
595	542.7323447
596	542.6971865
597	542.652745
598	542.5526285
599	542.5261924
600	542.4874323
601	542.440627
602	542.4060018
603	542.4016089
604	542.3704744
605	542.335793
606	542.3032495
607	542.240787
608	542.1894172
609	542.1461544
610	542.1183866
611	542.0276247
612	541.9020188
613	541.8502914
614	541.816307
615	541.7416691
616	541.7260767
617	541.6904672
618	541.6822384
619	541.6645572
620	541.6371264
621	541.6033016
622	541.5293287
623	541.4901669
624	541.4354129
625	541.3933121
